Года;Страны СНГ;Европа;Страны ЕС (28);Азия;Африка;Австралия и Океания;Америка;Другие страны мира;Другие;Всего
1996;1,7;1,1;1,1;0,1;0;0;0,1;1,3;0;3
1997;1,6;1,4;1,4;0,1;0;0;0,3;1,8;0;3,5
1998;2;1,7;5,3;3,9;0;0;0,4;6;0;8
1999;1,9;1,8;2;2,8;0;0;0,3;5;0;6,8
2000;1,6;2,1;2,5;1,1;0;0;0,4;3,5;0;5,1
2001;2,6;5,6;5,6;0,2;0;0;0,8;6,6;0;9,2
2002;3,2;4,9;6,2;1,6;0;0;4,6;11,1;0;14,3
2003;3,6;6,9;9,2;3,2;0;0;1,1;11,2;0;14,8
2004;7,7;31,7;25,4;5,1;0;0;1,8;38,6;0;47,8
2005;10;69;69,5;13,8;0,2;0;3,8;86,8;0;96,8
2006;11,8;119,9;103,9;9;1,5;0;11,1;141,5;0;153,3
2007;18,4;233,8;220,3;9,3;0,1;0;6,3;249,6;0;268
2008;24,4;386,4;358,3;10;0,1;0,1;7,1;403,7;0;428,1
2009;22,2;342,6;321,9;7,1;0,1;0,1;4,2;354,2;0;376,5
2010;20,8;284,8;264,8;9,4;0,2;0,1;2,1;296,7;0;317,5
2011;34,2;179,2;152,5;9,7;0,4;0,1;5,5;194,8;0;229,1
2012;36,7;138,5;112,6;13,5;0,4;0,2;8,1;160,7;0;197,4
2013;30,9;120,4;98,7;17,7;5,5;NULL;6,8;150,5;0;181,4
2014;17,5;91,8;67,8;11,1;0,8;0;7,1;110,8;0;128,3
2015;10,9;77,5;62,2;10,4;NULL;NULL;4,8;92,7;0;103,6